beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type
"The Kimmie, The Yink and The Holy Gose Ale","Anderson Valley Brewing Company","Sour - Gose",4.2,8,,"DAAP School of Planning",Cincinnati,OH,"United States",39.1345,-84.519,,"2015-10-09 22:16:47",https://untappd.com/c/233487598,https://untappd.com/beer/468518,https://untappd.com/brewery/3880,"United States",Boonville,CA,,,
"Leffe Blonde / Blond","Abbaye de Leffe","Blonde Ale - Belgian Blonde / Golden",6.6,20,,"Views on Vine",Clifton,OH,"United States",39.1325,-84.5096,3.5,"2015-10-09 22:17:36",https://untappd.com/c/233488109,https://untappd.com/beer/5940,https://untappd.com/brewery/5,Belgium,Dinant,Namur,,,
"Best Brown Ale","Bell's Brewery","Brown Ale - American",5.8,0,"Smokey and rich","DAAP School of Planning",Cincinnati,OH,"United States",39.1345,-84.519,3.75,"2015-10-09 22:19:20",https://untappd.com/c/233489036,https://untappd.com/beer/7230,https://untappd.com/brewery/2507,"United States",Comstock,MI,,,
"Stone RuinTen Triple IPA","Stone Brewing","IPA - Triple",10.8,110,,"DAAP School of Planning",Cincinnati,OH,"United States",39.1345,-84.519,3,"2015-10-09 22:20:37",https://untappd.com/c/233489923,https://untappd.com/beer/355380,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,
"Two Hearted Ale","Bell's Brewery","IPA - American",7,55,,"DAAP School of Planning",Cincinnati,OH,"United States",39.1345,-84.519,3.5,"2015-10-09 22:21:38",https://untappd.com/c/233490741,https://untappd.com/beer/4133,https://untappd.com/brewery/2507,"United States",Comstock,MI,,,
Prodigal,"Ei8ht Ball Brewing","Pale Ale - American",6.5,40,,"DAAP School of Planning",Cincinnati,OH,"United States",39.1345,-84.519,3,"2015-10-09 22:22:54",https://untappd.com/c/233491601,https://untappd.com/beer/506314,https://untappd.com/brewery/91599,"United States",Bellevue,KY,,,
"Mama's Little Yella Pils","Oskar Blues Brewery","Pilsner - Czech",5.3,35,,"DAAP School of Planning",Cincinnati,OH,"United States",39.1345,-84.519,3.75,"2015-10-09 22:24:13",https://untappd.com/c/233492418,https://untappd.com/beer/5210,https://untappd.com/brewery/956,"United States",Longmont,CO,,,
"Natural Light",Anheuser-Busch,"Lager - American Light",4.2,0,"I asked my fiends to bring beer but they brought this water?",,,,,,,0.25,"2015-10-10 01:45:08",https://untappd.com/c/233566244,https://untappd.com/beer/3947,https://untappd.com/brewery/44,"United States","St. Louis",MO,,,
Sparky,"Braxton Brewing Company","Pale Wheat Ale - American",5.5,40,"Very hoppy wheat beer","Keystone Bar & Grill - Clifton",Cincinnati,OH,"United States",39.1284,-84.517,3.25,"2015-10-13 16:25:45",https://untappd.com/c/234850319,https://untappd.com/beer/1023419,https://untappd.com/brewery/45993,"United States",Covington,KY,,,
"Milds Davis","Blank Slate Brewing Co.","English Mild Ale",4.2,17,"Very caramel /roasted malty","The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,3,"2015-10-13 16:48:34",https://untappd.com/c/234854578,https://untappd.com/beer/1232072,https://untappd.com/brewery/32576,"United States",,,,,
Junior,"Ei8ht Ball Brewing","IPA - Session / India Session Ale",5.2,40,"Herbal, one of the better ipas","The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,3.5,"2015-10-13 16:57:07",https://untappd.com/c/234856241,https://untappd.com/beer/1234591,https://untappd.com/brewery/91599,"United States",Bellevue,KY,,,
Tecate,"Cervecería Cuauhtémoc Moctezuma S.A. de C.V.","Lager - North American Adjunct",4.5,14,"Decent for garbage style beer","Big Star",Chicago,IL,"United States",41.9092,-87.6773,2.75,"2015-10-16 17:28:11",https://untappd.com/c/235678934,https://untappd.com/beer/5880,https://untappd.com/brewery/360,Mexico,Monterrey,"Nuevo León",,,
Pumking,"Southern Tier Brewing Company","Pumpkin / Yam Beer - Imperial",8.6,30,"Very spicy","Bangers & Lace",Chicago,IL,"United States",41.9034,-87.6703,3.25,"2015-10-16 17:37:20",https://untappd.com/c/235684999,https://untappd.com/beer/4886,https://untappd.com/brewery/4586,"United States",Lakewood,NY,,,
"311 Amber Ale","Nebraska Brewing Company","Red Ale - American Amber / Red",5.5,31,,"Bangers & Lace",Chicago,IL,"United States",41.9034,-87.6703,3.5,"2015-10-16 17:39:36",https://untappd.com/c/235686611,https://untappd.com/beer/1050154,https://untappd.com/brewery/901,"United States",Papillion,NE,,,
"Sunlight Cream Ale","Sun King Brewing Company","Cream Ale",5.3,20,"So creamy","Pinheads - Alley's Alehouse",Fishers,IN,"United States",39.9885,-86.0055,3.25,"2015-10-16 21:48:17",https://untappd.com/c/235832956,https://untappd.com/beer/10532,https://untappd.com/brewery/2778,"United States",Indianapolis,IN,,,
"Bottled Blonde","Upland Brewing Company","Blonde Ale",4.9,22,"Very good. Award winner","Upland Brewing Company Brewpub",Bloomington,IN,"United States",39.1734,-86.5376,4,"2015-10-17 11:51:10",https://untappd.com/c/236001047,https://untappd.com/beer/1185443,https://untappd.com/brewery/1313,"United States",Bloomington,IN,,,
"Upland Wheat Ale","Upland Brewing Company",Witbier,4.7,15,"Strong cloves","Upland Brewing Company Brewpub",Bloomington,IN,"United States",39.1734,-86.5376,3.25,"2015-10-17 11:59:28",https://untappd.com/c/236003747,https://untappd.com/beer/11686,https://untappd.com/brewery/1313,"United States",Bloomington,IN,,,
"Helios Pale Ale","Upland Brewing Company","Pale Ale - American",4.9,44,"Good pale ale!","Upland Brewing Company Brewpub",Bloomington,IN,"United States",39.1734,-86.5376,3.75,"2015-10-17 12:00:49",https://untappd.com/c/236004138,https://untappd.com/beer/14063,https://untappd.com/brewery/1313,"United States",Bloomington,IN,,,
"Dragonfly IPA","Upland Brewing Company","IPA - American",6.7,65,"Average IPA. Almost a spicy kick at the end","Upland Brewing Company Brewpub",Bloomington,IN,"United States",39.1734,-86.5376,3,"2015-10-17 12:06:30",https://untappd.com/c/236006199,https://untappd.com/beer/6102,https://untappd.com/brewery/1313,"United States",Bloomington,IN,,,
"Easy Chair Amber Ale","Upland Brewing Company","Red Ale - American Amber / Red",5.25,22,Decent,"Upland Brewing Company Brewpub",Bloomington,IN,"United States",39.1734,-86.5376,3.5,"2015-10-17 12:15:03",https://untappd.com/c/236009479,https://untappd.com/beer/601997,https://untappd.com/brewery/1313,"United States",Bloomington,IN,,,
"Bad Elmer's Porter","Upland Brewing Company","Porter - American",5,20,,"Upland Brewing Company Brewpub",Bloomington,IN,"United States",39.1734,-86.5376,2.5,"2015-10-17 12:25:51",https://untappd.com/c/236014115,https://untappd.com/beer/13154,https://untappd.com/brewery/1313,"United States",Bloomington,IN,,,
Oktoberfest,"Upland Brewing Company",Märzen,6.7,20,,"Upland Brewing Company Brewpub",Bloomington,IN,"United States",39.1734,-86.5376,3.75,"2015-10-17 12:27:51",https://untappd.com/c/236014882,https://untappd.com/beer/17042,https://untappd.com/brewery/1313,"United States",Bloomington,IN,,,
Smithwick's,Guinness,"Red Ale - Irish",4.5,0,,"Conner Prairie Headless Horseman",Fishers,IN,"United States",39.9886,-86.0216,2.75,"2015-10-18 19:31:31",https://untappd.com/c/236831352,https://untappd.com/beer/13388,https://untappd.com/brewery/49,Ireland,"St. James's Gate",Dublin,,,
"Rainbow Road","Fifty West Brewing Company","IPA - Session / India Session Ale",3.8,42,"Lighter, more refreshing","The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,3.25,"2015-10-20 15:49:59",https://untappd.com/c/237166048,https://untappd.com/beer/1075176,https://untappd.com/brewery/38627,"United States",Cincinnati,OH,,,
Maize,"Urban Artifact","Lager - Amber",5.3,25,Ew?,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2.25,"2015-10-20 16:11:18",https://untappd.com/c/237169733,https://untappd.com/beer/1040582,https://untappd.com/brewery/196317,"United States",Cincinnati,OH,,,
"50 Dalmatians","Old Firehouse Brewery","Pale Ale - American",5.7,35,,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2.75,"2015-10-20 16:11:24",https://untappd.com/c/237169796,https://untappd.com/beer/1243454,https://untappd.com/brewery/155169,"United States",Williamsburg,OH,,,
MosaWit,"Blank Slate Brewing Co.",Witbier,5.3,35,"Wheat but interesting hop taste","The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2.75,"2015-10-20 16:12:58",https://untappd.com/c/237170005,https://untappd.com/beer/1250518,https://untappd.com/brewery/32576,"United States",,,,,
Junior,"Ei8ht Ball Brewing","IPA - Session / India Session Ale",5.2,40,"I accidentally had the same beer again","The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,3.5,"2015-10-20 16:57:52",https://untappd.com/c/237178185,https://untappd.com/beer/1234591,https://untappd.com/brewery/91599,"United States",Bellevue,KY,,,
"Golden Monkey","Victory Brewing Company","Belgian Tripel",9.5,25,,"Taste Of Belgium - Short Vine",Cincinnati,OH,"United States",39.1323,-84.5094,3.25,"2015-10-24 13:15:07",https://untappd.com/c/238404089,https://untappd.com/beer/3787,https://untappd.com/brewery/1326,"United States",Downingtown,PA,,,
"The Lesser Path","Blank Slate Brewing Co.","IPA - White",6.5,70,,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,3.5,"2015-10-27 15:19:38",https://untappd.com/c/239501131,https://untappd.com/beer/332117,https://untappd.com/brewery/32576,"United States",,,,,
"Home Sweet Home","Fifty West Brewing Company","Spiced / Herbed Beer",6.5,30,"Good but tastes like medicine","The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2,"2015-10-27 15:44:03",https://untappd.com/c/239505178,https://untappd.com/beer/481603,https://untappd.com/brewery/38627,"United States",Cincinnati,OH,,,
ShRed,"Fifty West Brewing Company","IPA - American",7.1,74,,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,3,"2015-10-27 16:39:17",https://untappd.com/c/239515366,https://untappd.com/beer/874813,https://untappd.com/brewery/38627,"United States",Cincinnati,OH,,,
Storm,"Braxton Brewing Company","Cream Ale",4.8,17,Creamy,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2.5,"2015-10-27 16:40:19",https://untappd.com/c/239515690,https://untappd.com/beer/1013580,https://untappd.com/brewery/45993,"United States",Covington,KY,,,
"IPA (India Pale Ale)","Arcadia Brewing Company","IPA - American",6,47,,"Wagner Street Steps",,OH,"United States",39.1339,-84.5269,4.25,"2015-10-30 23:19:52",https://untappd.com/c/240542975,https://untappd.com/beer/16291,https://untappd.com/brewery/47,"United States",Kalamazoo,MI,,,
"Pabst Blue Ribbon","Pabst Brewing Company","Lager - North American Adjunct",4.6,10,"It's cheap...",,,,,,,0.75,"2015-10-30 23:21:02",https://untappd.com/c/240543514,https://untappd.com/beer/3883,https://untappd.com/brewery/963,"United States",Woodridge,IL,,,
"Bud Light Platinum",Anheuser-Busch,"Lager - American Light",6,12,Okay,,,,,,,1.5,"2015-10-30 23:23:59",https://untappd.com/c/240544898,https://untappd.com/beer/96975,https://untappd.com/brewery/44,"United States","St. Louis",MO,,,
"Amber Ale","Mt. Carmel Brewing Company","Red Ale - American Amber / Red",6,0,,"Taste Of Belgium - Short Vine",Cincinnati,OH,"United States",39.1323,-84.5094,2.5,"2015-10-31 21:09:40",https://untappd.com/c/241020303,https://untappd.com/beer/6328,https://untappd.com/brewery/1486,"United States",Cincinnati,OH,,,
"Blonde Ale","Mt. Carmel Brewing Company","Blonde Ale",5.5,0,,"Views on Vine",Clifton,OH,"United States",39.1325,-84.5096,2.75,"2015-11-03 15:11:47",https://untappd.com/c/241705077,https://untappd.com/beer/6322,https://untappd.com/brewery/1486,"United States",Cincinnati,OH,,,
Spoatieoatiedopaliscious,"Fifty West Brewing Company","Pale Ale - American",6,37,,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2.5,"2015-11-03 15:12:33",https://untappd.com/c/241705200,https://untappd.com/beer/636833,https://untappd.com/brewery/38627,"United States",Cincinnati,OH,,,
"Imperial IPA With Mango","Mt. Carmel Brewing Company","IPA - Imperial / Double",9,0,,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2.75,"2015-11-03 15:13:49",https://untappd.com/c/241705403,https://untappd.com/beer/1267769,https://untappd.com/brewery/1486,"United States",Cincinnati,OH,,,
"Speed Bump","Fifty West Brewing Company",Kölsch,5.25,25,crackers?,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2.25,"2015-11-03 16:12:26",https://untappd.com/c/241715244,https://untappd.com/beer/268346,https://untappd.com/brewery/38627,"United States",Cincinnati,OH,,,
"Alternate Route","Fifty West Brewing Company",Altbier,5.6,35,"yes that's John","The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2.25,"2015-11-03 16:19:21",https://untappd.com/c/241716421,https://untappd.com/beer/273038,https://untappd.com/brewery/38627,"United States",Cincinnati,OH,,,
"Red Drink","Ei8ht Ball Brewing","Red Ale - Imperial / Double",8,0,,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2,"2015-11-10 16:14:58",https://untappd.com/c/244002428,https://untappd.com/beer/549302,https://untappd.com/brewery/91599,"United States",Bellevue,KY,,,
"M Crown","Christian Moerlein Brewing","Pale Ale - American",6.5,45,,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2.75,"2015-11-10 16:15:41",https://untappd.com/c/244002573,https://untappd.com/beer/1205223,https://untappd.com/brewery/1404,"United States",Cincinnati,OH,,,
Thundersnow,"MadTree Brewing Company","Scottish Ale",8.5,18,,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2.75,"2015-11-10 16:16:51",https://untappd.com/c/244002785,https://untappd.com/beer/493664,https://untappd.com/brewery/16735,"United States",Cincinnati,OH,,,
PsycHOPathy,"MadTree Brewing Company","IPA - American",6.9,60,,"MadTree Brewing",Cincinnati,OH,"United States",39.1564,-84.424,2.75,"2015-11-10 20:07:18",https://untappd.com/c/244074374,https://untappd.com/beer/314529,https://untappd.com/brewery/16735,"United States",Cincinnati,OH,,,
Dewhop,"MadTree Brewing Company","Pale Ale - American",5.4,30,,"MadTree Brewing",Cincinnati,OH,"United States",39.1564,-84.424,2.75,"2015-11-10 20:08:12",https://untappd.com/c/244074776,https://untappd.com/beer/1303837,https://untappd.com/brewery/16735,"United States",Cincinnati,OH,,,
"Lemon Basil Blonde","MadTree Brewing Company","Blonde Ale",4.6,30,,"MadTree Brewing",Cincinnati,OH,"United States",39.1564,-84.424,2.5,"2015-11-10 20:08:46",https://untappd.com/c/244075044,https://untappd.com/beer/576660,https://untappd.com/brewery/16735,"United States",Cincinnati,OH,,,
"El Notario","MadTree Brewing Company","Pale Ale - American",4.6,30,,"MadTree Brewing",Cincinnati,OH,"United States",39.1564,-84.424,3,"2015-11-10 20:10:27",https://untappd.com/c/244075789,https://untappd.com/beer/1291085,https://untappd.com/brewery/16735,"United States",Cincinnati,OH,,,
Lift,"MadTree Brewing Company",Kölsch,4.7,11,,"MadTree Brewing",Cincinnati,OH,"United States",39.1564,-84.424,2.5,"2015-11-10 20:14:26",https://untappd.com/c/244077509,https://untappd.com/beer/536931,https://untappd.com/brewery/16735,"United States",Cincinnati,OH,,,
EspressoSelf,"MadTree Brewing Company","Brown Ale - American",4.9,17,,"MadTree Brewing",Cincinnati,OH,"United States",39.1564,-84.424,2.25,"2015-11-10 20:28:56",https://untappd.com/c/244084014,https://untappd.com/beer/871199,https://untappd.com/brewery/16735,"United States",Cincinnati,OH,,,
"Gnarly Brown","MadTree Brewing Company","Brown Ale - American",7,32,,"MadTree Brewing",Cincinnati,OH,"United States",39.1564,-84.424,2.25,"2015-11-10 20:56:29",https://untappd.com/c/244096303,https://untappd.com/beer/314542,https://untappd.com/brewery/16735,"United States",Cincinnati,OH,,,
"Identity Crisis","MadTree Brewing Company","IPA - Black / Cascadian Dark Ale",6.9,61,,"MadTree Brewing",Cincinnati,OH,"United States",39.1564,-84.424,,"2015-11-12 08:38:43",https://untappd.com/c/244419891,https://untappd.com/beer/84241,https://untappd.com/brewery/16735,"United States",Cincinnati,OH,,,
"T-Bird Hop Harvest Ale","Christian Moerlein Brewing","Pale Ale - American",6.8,60,,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,2.75,"2015-11-17 16:59:30",https://untappd.com/c/246290778,https://untappd.com/beer/844897,https://untappd.com/brewery/1404,"United States",Cincinnati,OH,,,
"Whitsun Ale","Arcadia Brewing Company","Pale Wheat Ale - American",6,17,,"Views on Vine",Clifton,OH,"United States",39.1325,-84.5096,3.25,"2015-11-17 17:00:39",https://untappd.com/c/246290993,https://untappd.com/beer/16260,https://untappd.com/brewery/47,"United States",Kalamazoo,MI,,,
"IPA (India Pale Ale)","Arcadia Brewing Company","IPA - American",6,47,,"Views on Vine",Clifton,OH,"United States",39.1325,-84.5096,4.25,"2015-11-17 17:02:05",https://untappd.com/c/246291279,https://untappd.com/beer/16291,https://untappd.com/brewery/47,"United States",Kalamazoo,MI,,,
"Cheap Date","Arcadia Brewing Company","IPA - Session / India Session Ale",4.5,30,,"Views on Vine",Clifton,OH,"United States",39.1325,-84.5096,,"2015-11-17 17:04:06",https://untappd.com/c/246291699,https://untappd.com/beer/345737,https://untappd.com/brewery/47,"United States",Kalamazoo,MI,,,
"Windisch-Muhlhauser Dark Lager","Christian Moerlein Brewing","Lager - Euro Dark",5,0,,"Christian Moerlein Malt House Taproom",Cincinnati,OH,"United States",39.1138,-84.5149,2.75,"2015-11-18 22:26:57",https://untappd.com/c/246617067,https://untappd.com/beer/1274343,https://untappd.com/brewery/1404,"United States",Cincinnati,OH,,,
"M Crown","Christian Moerlein Brewing","Pale Ale - American",6.5,45,,"Christian Moerlein Brewery Co",Cincinnati,OH,"United States",39.1139,-84.5151,2.75,"2015-11-18 22:29:39",https://untappd.com/c/246617890,https://untappd.com/beer/1205223,https://untappd.com/brewery/1404,"United States",Cincinnati,OH,,,
"IPA (India Pale Ale)","Arcadia Brewing Company","IPA - American",6,47,,"Views on Vine",Clifton,OH,"United States",39.1325,-84.5096,4.25,"2015-11-21 01:19:04",https://untappd.com/c/247345024,https://untappd.com/beer/16291,https://untappd.com/brewery/47,"United States",Kalamazoo,MI,,,
"Thunder Trail","Arcadia Brewing Company","Extra Special / Strong Bitter",6,29,,"Views on Vine",Clifton,OH,"United States",39.1325,-84.5096,2.25,"2015-11-21 01:19:40",https://untappd.com/c/247345146,https://untappd.com/beer/306774,https://untappd.com/brewery/47,"United States",Kalamazoo,MI,,,
"Thunder Trail","Arcadia Brewing Company","Extra Special / Strong Bitter",6,29,,"Views on Vine",Clifton,OH,"United States",39.1325,-84.5096,2.25,"2015-11-24 14:19:12",https://untappd.com/c/248521401,https://untappd.com/beer/306774,https://untappd.com/brewery/47,"United States",Kalamazoo,MI,,,
"Experimental DIPA #001","Rhinegeist Brewery","IPA - Imperial / Double",8.3,88,,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,3.75,"2015-11-24 16:21:20",https://untappd.com/c/248544194,https://untappd.com/beer/1294573,https://untappd.com/brewery/69953,"United States",Cincinnati,OH,,,
"Bonbonerie Opera Cream Stout","Blank Slate Brewing Co.","Stout - Other",5.7,30,,"The Brass Tap",Cincinnati,OH,"United States",39.1284,-84.5173,3.75,"2015-11-24 16:57:40",https://untappd.com/c/248552236,https://untappd.com/beer/951185,https://untappd.com/brewery/32576,"United States",,,,,
"Vacation Kölsch®","Daredevil Brewing Co",Kölsch,5,20,,"Daredevil Brewing Co.",Speedway,IN,"United States",39.7827,-86.2407,3.25,"2015-11-27 15:24:38",https://untappd.com/c/249690943,https://untappd.com/beer/383962,https://untappd.com/brewery/50714,"United States",Speedway,IN,,,
"Rip Cord Double IPA®","Daredevil Brewing Co","IPA - Imperial / Double",9,90,,"Daredevil Brewing Co.",Speedway,IN,"United States",39.7827,-86.2407,3,"2015-11-27 15:25:32",https://untappd.com/c/249691621,https://untappd.com/beer/338773,https://untappd.com/brewery/50714,"United States",Speedway,IN,,,
"Carnival Saison™","Daredevil Brewing Co","Saison / Farmhouse Ale",8.5,35,,"Daredevil Brewing Co.",Speedway,IN,"United States",39.7827,-86.2407,2.5,"2015-11-27 15:26:45",https://untappd.com/c/249692352,https://untappd.com/beer/430632,https://untappd.com/brewery/50714,"United States",Speedway,IN,,,
"Lift Off IPA®","Daredevil Brewing Co","IPA - American",7.2,72,,"Daredevil Brewing Co.",Speedway,IN,"United States",39.7827,-86.2407,3.5,"2015-11-27 15:28:14",https://untappd.com/c/249693498,https://untappd.com/beer/290472,https://untappd.com/brewery/50714,"United States",Speedway,IN,,,
"Slip Stream Pale Ale®","Daredevil Brewing Co","Pale Ale - American",5.5,55,,"Daredevil Brewing Co.",Speedway,IN,"United States",39.7827,-86.2407,3,"2015-11-27 15:29:53",https://untappd.com/c/249694567,https://untappd.com/beer/563025,https://untappd.com/brewery/50714,"United States",Speedway,IN,,,
Pils,"Daredevil Brewing Co","Pilsner - German",5,45,,"Daredevil Brewing Co.",Speedway,IN,"United States",39.7827,-86.2407,3,"2015-11-27 15:30:33",https://untappd.com/c/249695231,https://untappd.com/beer/1276072,https://untappd.com/brewery/50714,"United States",Speedway,IN,,,
"Muse Belgian Golden Ale™","Daredevil Brewing Co","Belgian Strong Golden Ale",8.5,32,,"Daredevil Brewing Co.",Speedway,IN,"United States",39.7827,-86.2407,2.75,"2015-11-27 15:31:51",https://untappd.com/c/249696052,https://untappd.com/beer/309281,https://untappd.com/brewery/50714,"United States",Speedway,IN,,,
Oktoberfest,"Daredevil Brewing Co",Festbier,5.6,28,,"Daredevil Brewing Co.",Speedway,IN,"United States",39.7827,-86.2407,3,"2015-11-27 15:33:07",https://untappd.com/c/249697007,https://untappd.com/beer/1239273,https://untappd.com/brewery/50714,"United States",Speedway,IN,,,
"Belgian White","Blue Moon Brewing Company",Witbier,5.4,9,,,,,,,,2.25,"2015-11-27 15:35:54",https://untappd.com/c/249698881,https://untappd.com/beer/3839,https://untappd.com/brewery/127804,"United States",Denver,CO,,,
"312 Urban Wheat Ale","Goose Island Beer Co.","Pale Wheat Ale - American",4.2,18,,,,,,,,2.75,"2015-11-27 19:16:37",https://untappd.com/c/249873871,https://untappd.com/beer/5925,https://untappd.com/brewery/2898,"United States",Chicago,IL,,,
Brickyard,"The Tap Brewery","Lager - Vienna",4.8,20,,"The Tap",Indianapolis,IN,"United States",39.7712,-86.1547,3,"2015-11-27 23:27:50",https://untappd.com/c/250052778,https://untappd.com/beer/1000228,https://untappd.com/brewery/153445,"United States",Bloomington,IN,,,
"Local Lager","The Tap Brewery","Lager - American Light",3.9,11,"Repackaged bud light??","The Tap",Indianapolis,IN,"United States",39.7712,-86.1547,1.5,"2015-11-27 23:29:16",https://untappd.com/c/250053372,https://untappd.com/beer/800394,https://untappd.com/brewery/153445,"United States",Bloomington,IN,,,
"Too Easy","The Tap Brewery","IPA - Session / India Session Ale",3.2,65,,"The Tap",Indianapolis,IN,"United States",39.7712,-86.1547,4.25,"2015-11-27 23:31:06",https://untappd.com/c/250054160,https://untappd.com/beer/1301197,https://untappd.com/brewery/153445,"United States",Bloomington,IN,,,
"Clown Mouth","The Tap Brewery","IPA - American",6.4,66,,"The Tap",Indianapolis,IN,"United States",39.7712,-86.1547,3,"2015-11-27 23:34:08",https://untappd.com/c/250055437,https://untappd.com/beer/1307800,https://untappd.com/brewery/153445,"United States",Bloomington,IN,,,
"Bionic Dragon","The Tap Brewery","IPA - American",6.8,80,,"The Tap",Indianapolis,IN,"United States",39.7712,-86.1547,3.25,"2015-11-27 23:38:32",https://untappd.com/c/250057378,https://untappd.com/beer/990190,https://untappd.com/brewery/153445,"United States",Bloomington,IN,,,
"Red Rye IPA","The Tap Brewery","IPA - American",6.2,80,,"The Tap",Indianapolis,IN,"United States",39.7712,-86.1547,2.5,"2015-11-27 23:39:26",https://untappd.com/c/250057658,https://untappd.com/beer/863758,https://untappd.com/brewery/153445,"United States",Bloomington,IN,,,
"Yellow Dwarf Wheat","Quaff ON! Brewing Company","Pale Wheat Ale - American",4.5,15,,"The Tap",Indianapolis,IN,"United States",39.7712,-86.1547,3.5,"2015-11-28 00:15:56",https://untappd.com/c/250070616,https://untappd.com/beer/387606,https://untappd.com/brewery/68922,"United States",Nashville,IN,,,
